timestamp,sensor_id,location,latitude,longitude,pm25_ugm3,pm10_ugm3,co_mgm3,no2_ugm3,no_ugm3,nox_ugm3,so2_ugm3,o3_ugm3,temperature_c,humidity_pct,wind_speed_ms,wind_direction_deg,pressure_hpa,solar_radiation_wm2,rainfall_mmhr,aqi,aqi_category,sensor_status
2025-01-01 00:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,112.2,150.2,1.847,128.6,33.7,166.3,75.8,36.2,10.6,72.3,1.19,29.9,1003.5,0.0,0.0,180.0,Unhealthy,Online
2025-01-01 01:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,81.7,162.6,2.759,213.4,30.7,244.4,49.4,18.9,8.0,84.4,2.6,294.9,1023.1,0.0,0.0,165.0,Unhealthy,Online
2025-01-01 03:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,121.0,225.1,5.055,89.1,79.0,171.8,33.9,15.2,7.2,59.7,2.3,354.9,1014.7,0.0,0.0,185.0,Unhealthy,Online
2025-01-01 04:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,187.4,357.6,3.674,105.7,34.5,140.7,83.5,24.4,12.7,69.6,3.66,241.3,1002.4,10.4,0.0,238.0,Very Unhealthy,Online
2025-01-01 06:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,77.8,139.0,1.827,61.1,64.9,128.3,97.4,21.1,3.8,70.6,2.0,68.1,1004.8,0.0,0.0,163.0,Unhealthy,Online
2025-01-01 07:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,109.0,155.9,6.614,74.8,27.4,103.0,108.7,30.8,18.2,58.0,3.72,111.8,996.9,107.0,0.0,179.0,Unhealthy,Online
2025-01-01 08:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,,,,,,,,,,,,,,,,,,Maintenance
2025-01-01 13:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,128.4,244.6,2.54,105.3,47.5,153.0,59.4,38.4,16.0,66.0,4.32,106.3,1000.7,648.5,0.0,189.0,Unhealthy,Online
2025-01-01 17:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,90.0,142.0,2.105,183.5,88.7,276.4,103.2,36.5,14.1,72.4,2.79,207.4,1004.3,311.3,0.0,169.0,Unhealthy,Online
2025-01-01 23:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,114.8,170.4,3.57,133.3,53.5,187.5,30.4,30.0,18.8,71.8,1.9,299.7,1000.5,17.6,0.0,182.0,Unhealthy,Online
2025-01-02 00:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,69.4,117.5,2.81,113.6,38.4,152.9,64.3,18.4,13.4,65.9,3.91,254.3,997.8,0.0,0.0,158.0,Unhealthy,Online
2025-01-02 01:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,69.3,110.5,3.194,232.2,47.5,282.0,52.9,25.5,12.4,71.0,1.45,179.1,1001.2,0.0,0.0,158.0,Unhealthy,Online
2025-01-02 05:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,98.8,173.5,1.591,85.6,26.1,111.8,33.6,31.1,19.3,55.7,5.76,305.4,1009.1,28.2,0.0,173.0,Unhealthy,Online
2025-01-02 06:00:00,FSD_001,GCUF Jhang Road,31.418,73.06,33.6,55.1,2.537,91.0,50.7,146.3,149.1,20.0,12.3,67.6,2.62,337.5,1016.2,0.0,0.0,96.0,Moderate,Online
